"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:36 am,0.915,34.03,60.33,-4.86,40.72,130.23,11/01/2022 08:50:51 am,0.915,-4.85,57.33,11.02,81.05,144.55
11/01/2022 08:48:36 am,0.920,35.30,60.65,-4.73,40.12,131.35,11/01/2022 08:50:51 am,0.920,-4.73,48.59,5.97,74.41,124.25
11/01/2022 08:48:36 am,0.925,36.03,60.68,-4.88,39.56,131.39,11/01/2022 08:50:51 am,0.925,-4.60,43.69,11.25,61.14,111.48
11/01/2022 08:48:36 am,0.930,36.66,60.88,-4.68,38.82,131.68,11/01/2022 08:50:51 am,0.930,-3.70,37.06,15.71,54.04,103.11
11/01/2022 08:48:36 am,0.935,37.43,60.70,-4.71,37.83,131.27,11/01/2022 08:50:51 am,0.935,-4.20,31.88,14.25,51.07,93.00
11/01/2022 08:48:36 am,0.940,38.66,60.88,-4.73,37.20,132.01,11/01/2022 08:50:51 am,0.940,-4.35,31.23,8.19,51.73,86.80
11/01/2022 08:48:36 am,0.945,39.39,60.60,-4.73,36.59,131.85,11/01/2022 08:50:51 am,0.945,-4.55,27.80,8.42,43.92,75.59
11/01/2022 08:48:36 am,0.950,40.04,60.73,-4.81,36.18,132.15,11/01/2022 08:50:51 am,0.950,-4.30,24.19,9.58,39.58,69.06
11/01/2022 08:48:36 am,0.955,40.89,60.88,-4.66,35.68,132.79,11/01/2022 08:50:51 am,0.955,-4.18,20.82,9.43,36.13,62.20
11/01/2022 08:48:36 am,0.960,41.36,60.78,-4.78,34.94,132.31,11/01/2022 08:50:51 am,0.960,-4.18,17.79,8.67,34.36,56.64
11/01/2022 08:48:36 am,0.965,42.87,60.45,-4.88,34.49,132.93,11/01/2022 08:50:51 am,0.965,-4.15,16.04,7.18,31.87,50.94
11/01/2022 08:48:36 am,0.970,43.74,60.18,-4.61,34.18,133.50,11/01/2022 08:50:51 am,0.970,-3.98,14.03,6.75,26.83,43.64
11/01/2022 08:48:36 am,0.975,44.47,59.68,-4.76,33.52,132.92,11/01/2022 08:50:51 am,0.975,-4.25,12.23,6.12,24.62,38.72
11/01/2022 08:48:36 am,0.980,45.44,59.65,-4.81,32.61,132.90,11/01/2022 08:50:51 am,0.980,-4.18,10.81,5.64,23.05,35.32
11/01/2022 08:48:36 am,0.985,46.92,59.70,-4.76,32.41,134.28,11/01/2022 08:50:51 am,0.985,-4.03,10.36,3.95,21.65,31.93
11/01/2022 08:48:36 am,0.990,47.80,59.58,-4.68,31.87,134.57,11/01/2022 08:50:51 am,0.990,-4.08,10.26,3.14,21.50,30.82
11/01/2022 08:48:36 am,0.995,48.37,59.13,-4.73,31.06,133.84,11/01/2022 08:50:51 am,0.995,-4.20,10.01,2.64,21.88,30.32
11/01/2022 08:48:37 am,1.000,49.20,59.60,-4.86,30.63,134.58,11/01/2022 08:50:52 am,1.000,-4.28,10.21,2.06,23.60,31.59
11/01/2022 08:48:37 am,1.005,49.43,60.50,-4.73,30.53,135.73,11/01/2022 08:50:52 am,1.005,-4.30,12.18,1.65,26.22,35.75
